Country_Code,Country_Name,Objective,Indicator_Code,Clean_Name,Observed_Values,Internal_Max_Missing_Gap,Interpolated_Values,Status
ABW,Aruba,economy,NY.GDP.MKTP.CD,GDP_current_USD,24,0,0,kept
ABW,Aruba,economy,NY.GDP.PCAP.CD,GDP_per_capita_current_USD,24,0,0,kept
ABW,Aruba,economy,NY.GDP.MKTP.KD.ZG,GDP_growth_annual_pct,24,0,0,kept
ABW,Aruba,economy,SI.POV.DDAY,Poverty_headcount_3usd_2021PPP_pct,0,24,0,dropped_no_observation
ABW,Aruba,education,SE.PRM.NENR,Primary_Net_Enrollment,12,3,0,dropped_internal_gap_gt_2_years
ABW,Aruba,education,SE.SEC.NENR,Secondary_Net_Enrollment,10,1,2,kept
ABW,Aruba,education,SE.ADT.LITR.ZS,Adult_Literacy_Rate,2,9,0,dropped_internal_gap_gt_2_years
ABW,Aruba,education,SE.XPD.TOTL.GD.ZS,Education_Expenditure_GDP,19,1,3,kept
ABW,Aruba,health,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ABW,Aruba,health,SH.DYN.MORT,Under5_mortality,0,24,0,dropped_no_observation
ABW,Aruba,health,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,0,24,0,dropped_no_observation
ABW,Aruba,health,SP.POP.TOTL,Population,24,0,0,kept
ABW,Aruba,environment,EN.GHG.CO2.MT.CE.AR5,CO2_Emissions_Total_MtCO2e,24,0,0,kept
ABW,Aruba,environment,EN.GHG.CO2.PC.CE.AR5,CO2_Emissions_Per_Capita,24,0,0,kept
ABW,Aruba,environment,EG.FEC.RNEW.ZS,Renewable_Energy_Pct,23,0,0,kept
ABW,Aruba,environment,AG.LND.FRST.ZS,Forest_Area_Pct,24,0,0,kept
AFG,Afghanistan,economy,NY.GDP.MKTP.CD,GDP_current_USD,24,0,0,kept
AFG,Afghanistan,economy,NY.GDP.PCAP.CD,GDP_per_capita_current_USD,24,0,0,kept
AFG,Afghanistan,economy,NY.GDP.MKTP.KD.ZG,GDP_growth_annual_pct,23,0,0,kept
AFG,Afghanistan,economy,SI.POV.DDAY,Poverty_headcount_3usd_2021PPP_pct,0,24,0,dropped_no_observation
AFG,Afghanistan,education,SE.PRM.NENR,Primary_Net_Enrollment,0,24,0,dropped_no_observation
AFG,Afghanistan,education,SE.SEC.NENR,Secondary_Net_Enrollment,7,5,0,dropped_internal_gap_gt_2_years
AFG,Afghanistan,education,SE.ADT.LITR.ZS,Adult_Literacy_Rate,4,4,0,dropped_internal_gap_gt_2_years
AFG,Afghanistan,education,SE.XPD.TOTL.GD.ZS,Education_Expenditure_GDP,8,0,0,kept
AFG,Afghanistan,health,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AFG,Afghanistan,health,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AFG,Afghanistan,health,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,22,0,0,kept
AFG,Afghanistan,health,SP.POP.TOTL,Population,24,0,0,kept
AFG,Afghanistan,environment,EN.GHG.CO2.MT.CE.AR5,CO2_Emissions_Total_MtCO2e,24,0,0,kept
AFG,Afghanistan,environment,EN.GHG.CO2.PC.CE.AR5,CO2_Emissions_Per_Capita,24,0,0,kept
