Country_Code,Country_Name,Indicator_Code,Clean_Name,Observed_Values,Internal_Max_Missing_Gap,Interpolated_Values,Status
ABW,Aruba,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ABW,Aruba,SH.DYN.MORT,Under5_mortality,0,24,0,dropped_no_observation
ABW,Aruba,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,0,24,0,dropped_no_observation
ABW,Aruba,SP.POP.TOTL,Population,24,0,0,kept
AFG,Afghanistan,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AFG,Afghanistan,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AFG,Afghanistan,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,22,0,0,kept
AFG,Afghanistan,SP.POP.TOTL,Population,24,0,0,kept
AGO,Angola,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AGO,Angola,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AGO,Angola,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
AGO,Angola,SP.POP.TOTL,Population,24,0,0,kept
ALB,Albania,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ALB,Albania,SH.DYN.MORT,Under5_mortality,24,0,0,kept
ALB,Albania,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
ALB,Albania,SP.POP.TOTL,Population,24,0,0,kept
AND,Andorra,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AND,Andorra,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AND,Andorra,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
AND,Andorra,SP.POP.TOTL,Population,24,0,0,kept
ARE,United Arab Emirates,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ARE,United Arab Emirates,SH.DYN.MORT,Under5_mortality,24,0,0,kept
ARE,United Arab Emirates,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
ARE,United Arab Emirates,SP.POP.TOTL,Population,24,0,0,kept
ARG,Argentina,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ARG,Argentina,SH.DYN.MORT,Under5_mortality,24,0,0,kept
ARG,Argentina,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
ARG,Argentina,SP.POP.TOTL,Population,24,0,0,kept
ARM,Armenia,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ARM,Armenia,SH.DYN.MORT,Under5_mortality,24,0,0,kept
ARM,Armenia,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
ARM,Armenia,SP.POP.TOTL,Population,24,0,0,kept
ASM,American Samoa,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ASM,American Samoa,SH.DYN.MORT,Under5_mortality,0,24,0,dropped_no_observation
ASM,American Samoa,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,0,24,0,dropped_no_observation
ASM,American Samoa,SP.POP.TOTL,Population,24,0,0,kept
ATG,Antigua and Barbuda,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
ATG,Antigua and Barbuda,SH.DYN.MORT,Under5_mortality,24,0,0,kept
ATG,Antigua and Barbuda,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
ATG,Antigua and Barbuda,SP.POP.TOTL,Population,24,0,0,kept
AUS,Australia,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AUS,Australia,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AUS,Australia,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
AUS,Australia,SP.POP.TOTL,Population,24,0,0,kept
AUT,Austria,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AUT,Austria,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AUT,Austria,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
AUT,Austria,SP.POP.TOTL,Population,24,0,0,kept
AZE,Azerbaijan,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
AZE,Azerbaijan,SH.DYN.MORT,Under5_mortality,24,0,0,kept
AZE,Azerbaijan,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
AZE,Azerbaijan,SP.POP.TOTL,Population,24,0,0,kept
BDI,Burundi,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BDI,Burundi,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BDI,Burundi,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BDI,Burundi,SP.POP.TOTL,Population,24,0,0,kept
BEL,Belgium,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BEL,Belgium,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BEL,Belgium,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BEL,Belgium,SP.POP.TOTL,Population,24,0,0,kept
BEN,Benin,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BEN,Benin,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BEN,Benin,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BEN,Benin,SP.POP.TOTL,Population,24,0,0,kept
BFA,Burkina Faso,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BFA,Burkina Faso,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BFA,Burkina Faso,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BFA,Burkina Faso,SP.POP.TOTL,Population,24,0,0,kept
BGD,Bangladesh,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BGD,Bangladesh,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BGD,Bangladesh,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BGD,Bangladesh,SP.POP.TOTL,Population,24,0,0,kept
BGR,Bulgaria,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BGR,Bulgaria,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BGR,Bulgaria,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BGR,Bulgaria,SP.POP.TOTL,Population,24,0,0,kept
BHR,Bahrain,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BHR,Bahrain,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BHR,Bahrain,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BHR,Bahrain,SP.POP.TOTL,Population,24,0,0,kept
BHS,"Bahamas, The",SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BHS,"Bahamas, The",SH.DYN.MORT,Under5_mortality,24,0,0,kept
BHS,"Bahamas, The",SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BHS,"Bahamas, The",SP.POP.TOTL,Population,24,0,0,kept
BIH,Bosnia and Herzegovina,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BIH,Bosnia and Herzegovina,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BIH,Bosnia and Herzegovina,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BIH,Bosnia and Herzegovina,SP.POP.TOTL,Population,24,0,0,kept
BLR,Belarus,SP.DYN.LE00.IN,Life_expectancy,24,0,0,kept
BLR,Belarus,SH.DYN.MORT,Under5_mortality,24,0,0,kept
BLR,Belarus,SH.XPD.CHEX.GD.ZS,Health_expenditure_pct_GDP,24,0,0,kept
BLR,Belarus,SP.POP.TOTL,Population,24,0,0,kept
